Meeting / File Date,Name,File Type,Media Purpose,Download Link
6/2/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090602ccm.pdf
6/9/2009,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090609cwm.pdf
6/16/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090616ccm.pdf
6/23/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090623ccm.pdf
7/7/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090707ccm.pdf
7/21/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090721ccm.pdf
8/11/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090811ccm.pdf
8/25/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090825ccm.pdf
9/1/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090901ccm.pdf
9/8/2009,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090908cwm.pdf
9/22/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090922ccm.pdf
9/29/2009,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20090929cwm.pdf
10/6/2009,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20091006ccm.pdf
10/13/2009,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2009/20091013cwm.pdf
1/8/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080108ccm.pdf
1/15/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080115_ccw.pdf
1/22/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080122ccm.pdf
1/29/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080129ccm.pdf
2/5/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080205ccm.pdf
2/12/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080212ccw.pdf
2/19/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080219ccm.pdf
2/26/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080226ccw.pdf
3/4/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080304ccm.pdf
3/11/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080311ccw.pdf
3/18/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080318ccm.pdf
3/25/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080325ccw.pdf
4/1/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080401ccm.pdf
4/8/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080408ccw.pdf
4/22/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080422ccm.pdf
5/6/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080506ccm.pdf
5/13/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080513ccw.pdf
5/20/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080520ccm.pdf
5/27/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080527ccw.pdf
6/3/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080603ccm.pdf
6/10/2008,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080610cwm.pdf
6/17/2008,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2008/20080617ccm.pdf
